date,route,origin,destination,vessel_type,freight_rate,unit,source,source_date,source_url
2026-01-20,AUS-PAR,Hay Point,Paradip,Panamax,13.8,$/tonne,BigMint - India Coal Freight Rates,2026-01-20,https://www.bigmint.co/intel/detail/india-coal-freight-rates-remain-mixed-w-o-w-35565
2026-01-20,ZAF-PAR,Richards Bay,Paradip,Panamax,13.3,$/tonne,BigMint - India Coal Freight Rates,2026-01-20,https://www.bigmint.co/intel/detail/india-coal-freight-rates-remain-mixed-w-o-w-35565
2026-03-06,AUS-PAR,Hay Point,Paradip,Panamax,22.0,$/tonne,S&P Global Platts Dry Freight Wire (via Scribd mirror),2026-03-06,https://www.scribd.com/document/1009938919/Dry-Freight-Wire-06-Mar-2026
2026-03-06,IDN-SK-KRI,South Kalimantan,Krishnapatnam,Supramax,15.9,$/tonne,S&P Global Platts Dry Freight Wire (via Scribd mirror),2026-03-06,https://www.scribd.com/document/1009938919/Dry-Freight-Wire-06-Mar-2026
2026-03-06,IDN-SK-PAR,South Kalimantan,Paradip,Supramax,15.2,$/tonne,S&P Global Platts Dry Freight Wire (via Scribd mirror),2026-03-06,https://www.scribd.com/document/1009938919/Dry-Freight-Wire-06-Mar-2026
2026-03-06,ZAF-PAR,Richards Bay,Paradip,Panamax,18.45,$/tonne,S&P Global Platts Dry Freight Wire (via Scribd mirror),2026-03-06,https://www.scribd.com/document/1009938919/Dry-Freight-Wire-06-Mar-2026
2026-04-22,AUS-PAR,Hay Point,Paradip,Panamax,21.3,$/tonne,Shipping Tribune - India-Related Freight Rates Report,2026-04-22,https://www.shippingtribune.com/index.php/news/shipping/Freight%2BMarket%2BScenario
2026-04-22,IDN-KRI,Banjarmasin,Krishnapatnam,Panamax,11.75,$/tonne,Shipping Tribune - India-Related Freight Rates Report,2026-04-22,https://www.shippingtribune.com/index.php/news/shipping/Freight%2BMarket%2BScenario
2026-04-22,IDN-PAR,East Kalimantan,Paradip,Supramax,16.25,$/tonne,Shipping Tribune - India-Related Freight Rates Report,2026-04-22,https://www.shippingtribune.com/index.php/news/shipping/Freight%2BMarket%2BScenario
2026-04-22,ZAF-PAR,Richards Bay,Paradip,Panamax,18.55,$/tonne,Shipping Tribune - India-Related Freight Rates Report,2026-04-22,https://www.shippingtribune.com/index.php/news/shipping/Freight%2BMarket%2BScenario
2026-06-12,AUS-PAR,Hay Point,Paradip,Panamax,23.1,$/tonne,Shipping Tribune - India-Related Freight Rates Report,2026-06-12,https://www.shippingtribune.com/news/shipping/Freight%2BMarket%2BScenario%2B
